time,ip,state,name
2022-05-26 16:09,221.151.78.120:81,on,공기청정기1
2022-05-26 16:10,221.151.78.120:81,off,공기청정기1
2022-05-26 16:10,221.151.78.120:82,on,환풍기1
2022-05-26 16:10,221.151.78.120:82,off,환풍기1
2022-05-27 22:23,221.151.78.120:82,on,환풍기1
2022-05-28 3:04,221.151.78.120:82,off,환풍기1
2022-05-28 3:06,221.151.78.120:80,on,공기순환기
2022-05-28 3:06,221.151.78.120:80,off,공기순환기
2022-05-28 3:07,221.151.78.120:80,off,공기순환기
2022-05-28 3:16,221.151.78.120:80,on,공기순환기
2022-05-28 3:31,221.151.78.120:80,on,공기순환기
2022-05-28 3:31,221.151.78.120:80,off,공기순환기
2022-05-28 3:31,221.151.78.120:80,on,공기순환기
2022-05-28 3:31,221.151.78.120:80,on,공기순환기
2022-05-28 3:32,221.151.78.120:80,off,공기순환기
2022-05-28 3:49,221.151.78.120:82,on,환풍기1
2022-05-28 4:23,221.151.78.120:82,off,환풍기1
2022-05-28 4:47,221.151.78.120:82,on,환풍기1
2022-05-28 4:49,221.151.78.120:82,off,환풍기1
2022-05-28 5:13,221.151.78.120:82,on,환풍기1
2022-05-28 5:13,221.151.78.120:82,off,환풍기1
2022-05-28 5:14,221.151.78.120:82,on,환풍기1
2022-05-28 5:17,221.151.78.120:82,off,환풍기1
2022-05-28 5:24,221.151.78.120:82,on,환풍기1
2022-05-28 5:25,221.151.78.120:82,off,환풍기1
2022-05-28 5:25,221.151.78.120:82,on,환풍기1
2022-05-28 5:26,221.151.78.120:82,off,환풍기1
2022-05-28 5:35,221.151.78.120:82,on,환풍기1
2022-05-28 5:40,221.151.78.120:82,off,환풍기1
2022-05-28 5:49,221.151.78.120:82,on,환풍기1
2022-05-28 6:19,221.151.78.120:82,off,환풍기1
2022-05-28 6:19,221.151.78.120:82,on,환풍기1
2022-05-28 6:34,221.151.78.120:82,off,환풍기1
2022-05-28 17:09,221.151.78.120:82,on,환풍기1
2022-05-28 17:09,221.151.78.120:82,off,환풍기1
2022-05-28 20:33,221.151.78.120:82,on,환풍기1
2022-05-28 20:33,221.151.78.120:82,off,환풍기1
2022-05-29 18:34,221.151.78.120:82,on,환풍기1
2022-05-29 18:44,221.151.78.120:82,off,환풍기1
2022-05-29 21:43,221.151.78.120:81,on,공기청정기1
2022-05-29 21:45,221.151.78.120:81,off,공기청정기1
2022-05-29 21:46,221.151.78.120:81,on,공기청정기1
2022-05-29 21:47,221.151.78.120:81,off,공기청정기1
2022-05-29 21:49,221.151.78.120:81,on,공기청정기1
2022-05-29 21:49,221.151.78.120:81,off,공기청정기1
2022-05-29 21:51,221.151.78.120:81,on,공기청정기1
2022-05-29 21:51,221.151.78.120:81,off,공기청정기1
2022-05-29 21:52,221.151.78.120:81,on,공기청정기1
2022-05-29 21:53,221.151.78.120:81,off,공기청정기1
2022-05-29 21:56,221.151.78.120:81,on,공기청정기1
2022-05-29 21:56,221.151.78.120:81,off,공기청정기1
2022-05-29 21:59,221.151.78.120:81,on,공기청정기1
2022-05-29 21:59,221.151.78.120:81,off,공기청정기1
2022-05-29 22:00,221.151.78.120:81,on,공기청정기1
2022-05-29 22:01,221.151.78.120:81,off,공기청정기1
2022-05-29 22:03,221.151.78.120:81,on,공기청정기1
2022-05-29 22:04,221.151.78.120:81,off,공기청정기1
2022-05-29 22:06,221.151.78.120:81,on,공기청정기1
2022-05-29 22:06,221.151.78.120:81,off,공기청정기1
2022-05-29 22:19,221.151.78.120:81,on,공기청정기1
2022-05-29 22:20,221.151.78.120:81,off,공기청정기1
2022-05-29 23:54,221.151.78.120:81,on,공기청정기1
2022-05-29 23:54,221.151.78.120:81,off,공기청정기1
2022-05-30 0:05,221.151.78.120:82,on,환풍기1
2022-05-30 0:05,221.151.78.120:80,on,surculator
2022-05-30 0:12,221.151.78.120:80,on,surculator
2022-05-30 0:12,221.151.78.120:80,off,surculator
2022-05-30 0:17,221.151.78.120:82,off,환풍기1
2022-05-30 0:17,221.151.78.120:82,off,환풍기1
2022-05-30 0:42,221.151.78.120:82,on,환풍기1
2022-05-30 0:50,221.151.78.120:82,off,환풍기1
2022-05-30 0:50,221.151.78.120:82,off,환풍기1
2022-05-30 1:09,221.151.78.120:82,on,환풍기1
2022-05-30 1:16,221.151.78.120:82,off,환풍기1
2022-05-30 1:36,221.151.78.120:82,on,환풍기1
2022-05-30 1:40,221.151.78.120:82,off,환풍기1
2022-05-30 2:28,221.151.78.120:82,on,환풍기1
2022-05-30 2:33,221.151.78.120:82,off,환풍기1
2022-05-30 2:33,221.151.78.120:82,off,환풍기1
2022-05-30 3:06,221.151.78.120:82,on,환풍기1
2022-05-30 3:12,221.151.78.120:82,off,환풍기1
2022-05-30 3:26,221.151.78.120:82,on,환풍기1
2022-05-30 3:32,221.151.78.120:82,off,환풍기1
2022-05-30 3:59,221.151.78.120:82,on,환풍기1
2022-05-30 3:59,221.151.78.120:82,on,환풍기1
2022-05-30 4:04,221.151.78.120:82,off,환풍기1
2022-05-30 4:30,221.151.78.120:82,on,환풍기1
2022-05-30 4:31,221.151.78.120:82,off,환풍기1
2022-05-30 4:32,221.151.78.120:82,on,환풍기1
2022-05-30 4:33,221.151.78.120:82,off,환풍기1
2022-05-30 4:41,221.151.78.120:82,on,환풍기1
2022-05-30 4:46,221.151.78.120:82,off,환풍기1
2022-05-30 5:09,221.151.78.120:82,on,환풍기1
2022-05-30 5:16,221.151.78.120:82,off,환풍기1
2022-05-30 5:23,221.151.78.120:82,on,환풍기1
2022-05-30 5:29,221.151.78.120:82,off,환풍기1
2022-05-30 5:38,221.151.78.120:82,on,환풍기1
2022-05-30 5:39,221.151.78.120:82,off,환풍기1
2022-05-30 5:46,221.151.78.120:82,on,환풍기1
2022-05-30 5:51,221.151.78.120:82,off,환풍기1
2022-05-30 5:52,221.151.78.120:82,on,환풍기1
2022-05-30 5:53,221.151.78.120:82,off,환풍기1
2022-05-30 6:01,221.151.78.120:82,on,환풍기1
2022-05-30 6:04,221.151.78.120:82,off,환풍기1
2022-05-30 6:57,221.151.78.120:82,on,환풍기1
2022-05-30 6:57,221.151.78.120:82,off,환풍기1
2022-05-30 6:57,221.151.78.120:82,off,환풍기1
2022-05-30 21:04,221.151.78.120:82,on,환풍기
2022-05-30 21:04,221.151.78.120:82,off,환풍기
2022-05-30 21:05,221.151.78.120:82,on,환풍기
2022-05-30 21:05,221.151.78.120:82,off,환풍기
2022-05-30 21:05,221.151.78.120:80,on,공기순환기
2022-05-30 21:05,221.151.78.120:82,on,환풍기
2022-05-30 21:06,221.151.78.120:80,off,공기순환기
2022-05-30 21:06,221.151.78.120:82,off,환풍기
2022-05-30 21:07,221.151.78.120:80,on,공기순환기
2022-05-30 21:07,221.151.78.120:80,off,공기순환기
2022-05-31 1:40,221.151.78.120:82,on,환풍기
2022-05-31 1:40,221.151.78.120:82,off,환풍기
2022-05-31 10:40,221.151.78.120:80,on,test4
2022-05-31 10:41,221.151.78.120:80,off,test4
2022-05-31 10:47,221.151.78.120:80,on,test2
2022-05-31 10:47,221.151.78.120:80,off,test2
2022-05-31 10:49,221.151.78.120:81,on,테스트
2022-05-31 10:50,221.151.78.120:81,off,테스트
2022-05-31 11:47,221.151.78.120:82,on,t2
2022-05-31 11:47,221.151.78.120:82,on,t2
2022-05-31 11:47,221.151.78.120:82,on,t2
2022-05-31 11:47,221.151.78.120:80,on,t1
2022-05-31 11:48,221.151.78.120:80,on,t1
